CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
3625,J957601,c89bf5f4-233a-46da-a678-5f59c350dde9,Clayton,WA,Stevens,99110,48.01216,-117.5764,1868.0,Rural,America/Los_Angeles,Diagnostic radiographer,2.0,42.0,"Some College, Less than 1 Year",Part Time,18231.57,Widowed,Female,Yes,9.78,11.0,3.0,0.0,No,Month-to-month,Yes,No,None,Yes,No,No,No,No,,Yes,Yes,No,Bank Transfer(automatic),13.57,174.4,1656.98,3,3,3,6,2,4,4,4
3626,U121835,fe5241a3-4d56-43c9-86db-f5411a7a1438,Lyman,WA,Skagit,98263,48.52191,-122.067,76.0,Urban,America/Los_Angeles,"Physicist, medical",0.0,84.0,Associate's Degree,Full Time,9967.84,Divorced,Female,Yes,4.65,9.0,1.0,2.0,No,Month-to-month,Yes,Yes,None,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Bank Transfer(automatic),20.89,220.61,2210.53,5,5,4,3,4,4,4,3
3627,B60959,4b709b83-5eeb-4abb-8a91-74f5dab56dd1,Belden,MS,Lee,38826,34.30573,-88.84611,4941.0,Urban,America/Chicago,"Exhibitions officer, museum/gallery",2.0,30.0,Bachelor's Degree,Full Time,35924.8,Never Married,Male,Yes,3.37,15.0,3.0,1.0,No,Month-to-month,Yes,No,DSL,,Yes,Yes,Yes,No,No,No,No,No,Mailed Check,7.57,150.42,1541.09,3,4,4,4,3,4,6,2
3628,S102431,cf5f2867-37d8-4566-ab65-476a5d00a4ec,Monticello,WI,Green,53570,42.73923,-89.61868,2491.0,Rural,America/Chicago,Insurance broker,9.0,55.0,"Some College, 1 or More Years, No Degree",Full Time,83757.35,Married,Female,No,10.65,11.0,0.0,0.0,Yes,Two Year,No,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Mailed Check,3.05,143.66,577.98,3,3,4,3,4,2,5,3
3629,S611900,cf2d2aff-9ad8-414f-b9c8-72fbf710f758,Mather,PA,Greene,15346,39.93545,-80.0753,427.0,Rural,America/New_York,Marine scientist,7.0,73.0,Regular High School Diploma,Full Time,50161.62,Never Married,Female,No,10.78,12.0,1.0,0.0,No,Two Year,Yes,No,None,Yes,Yes,Yes,No,No,No,Yes,No,No,Mailed Check,11.62,139.68,1430.97,4,5,4,3,4,4,5,5
3630,B167906,3d6987c2-c3ac-4358-af6c-d7ed3dcdfc84,Yauco,PR,Yauco,698,18.06728,-66.85273,36312.0,Urban,America/Puerto_Rico,"Scientist, product/process development",2.0,33.0,Master's Degree,Student,27579.75,Married,Male,Yes,12.43,9.0,0.0,0.0,,Month-to-month,No,No,DSL,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Bank Transfer(automatic),7.28,212.72,2903.08,4,2,3,3,5,3,2,4
3631,G315668,a5ef40fa-5cf0-4b3b-8beb-fc321ab73baf,London,AR,Pope,72847,35.37373,-93.27199,2405.0,Rural,America/Chicago,Cytogeneticist,0.0,44.0,Bachelor's Degree,Student,28020.92,Never Married,Male,No,10.54,14.0,1.0,1.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Electronic Check,7.57,141.36,1282.57,3,3,3,1,4,3,4,5
3632,Y247424,4efabc53-41f5-4ecb-994b-e1425b50c284,North Dartmouth,MA,Bristol,2747,41.66783,-71.01627,23512.0,Suburban,America/New_York,"Designer, textile",3.0,74.0,Regular High School Diploma,Full Time,41262.36,Separated,Female,Yes,13.08,10.0,0.0,1.0,,One year,No,No,DSL,,Yes,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,19.49,234.59,2709.34,4,4,4,3,3,4,4,4
3633,P49053,5658bcf4-41db-4138-a146-8b31e3c00e95,Beaumont,MS,Perry,39423,31.17101,-88.91489,2623.0,Urban,America/Chicago,Equities trader,0.0,64.0,"Some College, 1 or More Years, No Degree",Full Time,48188.1,Never Married,Male,No,11.77,19.0,2.0,0.0,,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),17.4,160.96,1910.06,1,2,2,4,2,2,3,3
3634,Y34797,9e0c180e-4a04-4491-ae7a-85c7256835ce,Buffalo,NY,Erie,14225,42.92895,-78.75165,33328.0,Urban,America/New_York,Museum/gallery exhibitions officer,4.0,46.0,Master's Degree,Unemployed,40957.31,Married,Male,Yes,3.6,14.0,2.0,0.0,No,Two Year,No,No,None,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Electronic Check,1.27,244.78,985.96,5,5,3,5,3,4,3,3
3635,X471199,412355bb-0602-4303-b099-ecc9c4bed038,Dayton,OH,Montgomery,45410,39.74803,-84.15815,16079.0,Suburban,America/New_York,Fish farm manager,6.0,35.0,Associate's Degree,Student,54411.48,Divorced,Male,Yes,9.66,14.0,1.0,0.0,,One year,No,No,DSL,Yes,No,No,No,Yes,,No,Yes,No,Electronic Check,2.87,153.05,1262.18,3,3,4,2,6,1,2,2
3636,B687215,009df495-7689-49be-a0b3-c74b764e7dce,Bowerston,OH,Carroll,44695,40.43674,-81.17831,1578.0,Urban,America/New_York,IT trainer,3.0,62.0,Associate's Degree,Full Time,28736.12,Separated,Female,No,10.74,15.0,1.0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Mailed Check,3.44,137.04,441.3,4,4,4,2,4,2,3,4
3637,O181876,dcfc09ca-1934-4deb-aa34-f1fb7e46b3f5,Haw River,NC,Alamance,27258,36.03623,-79.32597,7011.0,Suburban,America/New_York,Haematologist,1.0,59.0,"Some College, 1 or More Years, No Degree",Unemployed,23804.97,Never Married,Female,Yes,10.75,11.0,0.0,0.0,Yes,Month-to-month,Yes,No,None,No,No,No,Yes,Yes,,Yes,Yes,Yes,Credit Card (automatic),1.11,210.71,724.28,4,5,4,5,2,6,3,5
3638,D281561,6c3ea35e-560f-4047-9207-0bd282d95c2a,Memphis,TN,Shelby,38115,35.05496,-89.86356,40837.0,Suburban,America/Chicago,Operations geologist,3.0,60.0,Bachelor's Degree,Full Time,15137.08,Married,Female,No,10.83,14.0,2.0,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,No,No,Yes,No,Electronic Check,10.45,180.56,1143.38,4,4,4,3,2,3,3,5
3639,L196466,6c09fb13-472a-4ac8-b8b7-96f1523e7954,Strykersville,NY,Wyoming,14145,42.73004,-78.42813,1785.0,Suburban,America/New_York,Furniture designer,1.0,41.0,Professional School Degree,Student,27953.84,Widowed,Male,Yes,11.42,10.0,2.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Credit Card (automatic),3.61,206.82,755.34,4,3,2,3,3,2,4,3
3640,S658766,245546e3-0536-48cf-9505-89fcabb53f51,Greenville,MI,Montcalm,48838,43.18392,-85.25749,18301.0,Urban,America/Detroit,Quality manager,4.0,66.0,Regular High School Diploma,Full Time,37352.8,Married,Male,No,8.95,8.0,3.0,0.0,No,Two Year,Yes,No,None,Yes,No,Yes,No,No,No,No,Yes,No,Credit Card (automatic),23.28,118.51,2291.02,4,4,4,1,3,4,5,4
3641,L20895,c555e61d-c01c-41c1-9e8a-29efe0705ff2,Woodworth,ND,Stutsman,58496,47.14748,-99.32907,188.0,Suburban,America/Chicago,Tax adviser,2.0,66.0,Master's Degree,Full Time,23193.91,Separated,Female,Yes,14.47,15.0,2.0,0.0,No,Month-to-month,No,No,Fiber Optic,,Yes,No,Yes,Yes,No,No,No,Yes,Electronic Check,5.8,179.89,702.23,3,4,4,4,4,3,3,3
3642,G416862,61b49d68-3e76-4e60-b7cd-1f0851ed224b,Elwood,IN,Madison,46036,40.29519,-85.83109,11850.0,Rural,America/Indiana/Indianapolis,Chief Strategy Officer,2.0,24.0,Nursery School to 8th Grade,Part Time,24799.72,Separated,Female,No,13.12,11.0,1.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,No,No,Electronic Check,3.64,135.91,529.86,4,4,4,4,2,4,4,2
3643,V472281,54ca346e-c13a-47d7-9d71-1e188b5fc379,West Unity,OH,Williams,43570,41.58705,-84.44006,3195.0,Urban,America/New_York,Editorial assistant,4.0,44.0,Bachelor's Degree,Full Time,29696.18,Never Married,Male,No,13.75,11.0,1.0,0.0,No,One year,Yes,No,None,Yes,No,Yes,No,Yes,No,Yes,No,No,Electronic Check,2.15,118.6,717.7,4,3,3,3,4,3,3,2
3644,G223009,93db95bf-eaee-4832-bf0c-608cfdee4415,Lincoln,NE,Lancaster,68510,40.80653,-96.63596,21765.0,Rural,America/Chicago,Financial risk analyst,3.0,28.0,Master's Degree,Part Time,47854.43,Divorced,Male,Yes,11.36,16.0,1.0,1.0,No,Month-to-month,No,No,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),11.66,162.78,1447.58,3,3,3,4,3,5,4,3
3645,K322836,abd91001-8dda-468f-985e-86380f73d984,Cedaredge,CO,Delta,81413,38.9572,-107.9549,4988.0,Suburban,America/Denver,Oceanographer,0.0,62.0,Regular High School Diploma,Full Time,45539.45,Married,Prefer not to answer,No,13.21,7.0,0.0,0.0,No,One year,Yes,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,No,Bank Transfer(automatic),8.6,150.9,1003.31,4,5,4,3,4,5,4,3
3646,L613081,925b5c99-044a-4e23-8ae1-9b9ad2adffb9,Velma,OK,Stephens,73491,34.4765,-97.65173,733.0,Suburban,America/Chicago,Customer service manager,4.0,19.0,Regular High School Diploma,Unemployed,12002.38,Married,Female,No,12.39,10.0,0.0,1.0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,Yes,No,Yes,Electronic Check,13.93,116.28,2322.34,3,3,4,4,3,3,4,2
3647,P854609,ca445e20-004f-48b3-b37c-dee9d2fc89bc,State College,PA,Centre,16803,40.80167,-77.89961,25901.0,Rural,America/New_York,Video editor,3.0,37.0,Regular High School Diploma,Full Time,17878.4,Never Married,Female,No,40.29,11.0,0.0,0.0,,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,Yes,Mailed Check,7.57,175.62,930.07,4,3,2,2,5,3,3,3
3648,L659694,a6715518-a60b-4532-af51-46c91960027b,Cameron,AZ,Coconino,86020,35.99212,-111.5037,2216.0,Rural,America/Denver,Financial adviser,2.0,53.0,"Some College, 1 or More Years, No Degree",Full Time,71254.24,Married,Male,Yes,12.77,11.0,1.0,1.0,No,Month-to-month,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,20.87,179.12,2441.91,2,3,3,3,4,3,1,3
3649,I830183,78ac960c-9a78-42cc-95df-d61245b28973,Yukon,OK,Canadian,73099,35.52828,-97.76233,68676.0,Urban,America/Chicago,Pension scheme manager,0.0,75.0,"Some College, Less than 1 Year",Part Time,62098.95,Married,Male,No,8.31,8.0,0.0,1.0,,One year,No,No,Fiber Optic,Yes,No,Yes,No,No,Yes,No,Yes,Yes,Credit Card (automatic),8.84,162.87,959.42,5,5,5,4,3,4,5,3
3650,K652765,e85328f1-d4e8-4c6f-b9ce-01231875ad67,Rocklin,CA,Placer,95765,38.81861,-121.2781,37878.0,Rural,America/Los_Angeles,Brewing technologist,2.0,51.0,Master's Degree,Full Time,1062.32,Never Married,Male,No,6.38,14.0,1.0,1.0,No,Month-to-month,No,No,None,No,No,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,10.87,127.14,1209.96,4,5,4,2,3,5,3,5
3651,W121980,23077a3b-8473-4aff-a493-5514fe61f8ee,Arvada,WY,Sheridan,82831,44.62376,-106.0692,266.0,Urban,America/Denver,"Engineer, maintenance",1.0,69.0,"Some College, 1 or More Years, No Degree",Retired,7401.68,Separated,Male,Yes,6.35,14.0,0.0,0.0,,Month-to-month,No,No,DSL,Yes,No,No,Yes,Yes,No,Yes,No,No,Electronic Check,12.39,152.95,1814.71,4,4,5,5,3,3,4,2
3652,T879160,3115249f-6999-4a9b-91fe-930194cc1c2c,Alicia,AR,Lawrence,72410,35.93353,-91.09786,360.0,Rural,America/Chicago,Actuary,7.0,43.0,Bachelor's Degree,Part Time,15012.17,Divorced,Female,Yes,10.18,11.0,1.0,0.0,,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,No,No,No,Credit Card (automatic),7.93,147.95,1031.33,5,4,4,2,4,3,2,3
3653,B714519,6ff6d916-ce75-4ec7-8529-db322a2e9997,Maynard,MN,Chippewa,56260,44.96579,-95.48291,900.0,Suburban,America/Chicago,Diplomatic Services operational officer,0.0,48.0,"Some College, Less than 1 Year",Full Time,5875.82,Never Married,Male,No,8.21,11.0,1.0,0.0,,One year,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,,No,No,No,Mailed Check,23.75,157.78,2142.05,5,5,5,2,4,4,3,3
3654,S297468,65bf156d-5528-4825-88f4-010321a02506,Matthews,IN,Grant,46957,40.38836,-85.49633,612.0,Suburban,America/Indiana/Indianapolis,"Engineer, petroleum",10.0,23.0,Bachelor's Degree,Full Time,12382.36,Divorced,Male,No,9.36,12.0,2.0,0.0,Yes,One year,No,No,DSL,Yes,No,Yes,No,Yes,No,No,No,Yes,Bank Transfer(automatic),1.6,109.59,1179.04,3,3,3,5,3,4,3,3
3655,V435676,28b43e21-f4c1-4272-ad69-ab53ffaef236,Kilgore,NE,Cherry,69216,42.9872,-100.9873,141.0,Urban,America/Denver,Comptroller,3.0,72.0,"Some College, 1 or More Years, No Degree",Retired,29702.84,Separated,Male,No,7.35,14.0,1.0,1.0,No,Two Year,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,No,No,No,Electronic Check,4.84,120.15,980.2,4,3,2,3,4,3,3,4
3656,B782212,9717b7aa-132e-4f73-aafd-c8cce2c73c3d,Bakersfield,CA,Kern,93311,35.19414,-119.1744,45763.0,Rural,America/Los_Angeles,Occupational psychologist,2.0,22.0,Master's Degree,Full Time,46991.33,Divorced,Male,No,12.72,14.0,0.0,0.0,,Two Year,Yes,No,None,Yes,No,No,No,No,No,No,Yes,Yes,Electronic Check,28.31,115.98,2710.7,4,5,3,4,4,4,3,5
3657,Z777846,f9a5c2dd-a9f5-4226-982f-1f12075bce6a,Palisades,NY,Rockland,10964,41.01624,-73.91438,1283.0,Urban,America/New_York,Interpreter,0.0,36.0,GED or Alternative Credential,Full Time,70856.54,Never Married,Female,No,11.91,13.0,4.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Credit Card (automatic),8.16,139.53,874.86,4,4,4,4,2,3,4,3
3658,T620393,755a4cdb-e224-4600-9999-7da8124b9a84,Orient,OH,Pickaway,43146,39.77433,-83.14164,12275.0,Rural,America/New_York,Camera operator,0.0,40.0,Regular High School Diploma,Full Time,12174.49,Married,Female,No,15.17,11.0,2.0,0.0,No,Month-to-month,No,No,DSL,Yes,Yes,No,Yes,Yes,No,No,No,No,Bank Transfer(automatic),10.55,160.34,1455.89,6,5,4,5,2,6,4,4
3659,O179523,eb8c09e5-d650-44a9-a9cb-00cbe63bf7a6,San Antonio,FL,Pasco,33576,28.32589,-82.32911,4654.0,Suburban,America/New_York,Public relations account executive,1.0,63.0,Nursery School to 8th Grade,Full Time,17570.65,Widowed,Female,Yes,11.96,10.0,0.0,0.0,,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,,No,No,Yes,Mailed Check,2.35,170.2,338.01,5,5,5,7,1,5,6,6
3660,K240876,9a98448b-9124-44c8-b171-ed3aff2efe3a,Cottonwood,AL,Houston,36320,31.05082,-85.31533,3708.0,Urban,America/Chicago,"Social research officer, government",6.0,45.0,GED or Alternative Credential,Full Time,24398.78,Never Married,Female,No,12.35,14.0,0.0,1.0,No,One year,Yes,No,None,Yes,No,No,No,Yes,Yes,Yes,No,No,Credit Card (automatic),5.32,129.06,2514.06,3,3,2,2,5,4,4,4
3661,W627535,23029f7c-052e-44ce-a8af-b127b10afb8a,West Baldwin,ME,Cumberland,4091,43.83211,-70.75141,907.0,Urban,America/New_York,Environmental consultant,7.0,74.0,Master's Degree,Full Time,23216.52,Married,Male,No,10.23,8.0,1.0,0.0,No,Month-to-month,No,No,None,Yes,No,No,No,Yes,Yes,No,No,Yes,Electronic Check,1.3,105.87,446.33,3,2,3,3,4,3,1,3
3662,L485651,731e0c6c-853d-4dec-9b29-80d5560aacba,Ross,ND,Mountrail,58776,48.24281,-102.6139,207.0,Urban,America/Chicago,Mudlogger,2.0,67.0,"Some College, Less than 1 Year",Full Time,152972.9,Divorced,Female,Yes,10.06,14.0,3.0,1.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Mailed Check,14.71,164.44,1905.72,3,4,4,3,5,3,2,4
3663,D39042,8acbf921-a421-42dd-99e0-a1029ed35486,Tombstone,AZ,Cochise,85638,31.71507,-110.0509,1871.0,Suburban,America/Phoenix,Secondary school teacher,0.0,36.0,Regular High School Diploma,Full Time,50827.4,Never Married,Female,No,3.25,16.0,2.0,1.0,No,Two Year,No,No,None,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Bank Transfer(automatic),7.86,125.49,837.28,1,2,2,5,3,3,4,4
3664,P52455,a2d4efae-ae0e-4207-b8df-338ead5ddf8b,Pittsville,VA,Pittsylvania,24139,37.01141,-79.47875,423.0,Suburban,America/New_York,Human resources officer,1.0,84.0,No Schooling Completed,Full Time,30433.22,Married,Male,Yes,8.52,13.0,3.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Electronic Check,9.32,163.14,1419.94,5,5,5,3,2,5,5,4
3665,B329338,c8b47cb4-2a24-4a01-aa14-3d0bf0d66bbc,Anchorage,AK,Anchorage,99501,61.22034,-149.857,17058.0,Urban,America/Anchorage,Manufacturing systems engineer,1.0,24.0,"Some College, 1 or More Years, No Degree",Full Time,30034.37,Separated,Male,No,10.53,12.0,1.0,1.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Electronic Check,4.56,182.56,933.68,3,3,3,4,5,2,4,3
3666,X656608,ec9e9744-627a-4a63-b56b-79e7530f00d4,Palco,KS,Rooks,67657,39.21027,-99.61998,259.0,Rural,America/Chicago,Petroleum engineer,3.0,88.0,Bachelor's Degree,Full Time,55271.5,Divorced,Female,No,12.17,18.0,1.0,0.0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,No,No,No,Mailed Check,4.28,148.56,412.2,4,5,4,3,4,4,5,3
3667,R710663,8712d074-e9e5-4cec-9cbc-1a6ac91e23f1,Seattle,WA,King,98108,47.54126,-122.313,23980.0,Urban,America/Los_Angeles,Insurance account manager,0.0,39.0,Regular High School Diploma,Retired,18107.56,Divorced,Male,No,13.47,14.0,0.0,1.0,No,Month-to-month,Yes,Yes,None,Yes,No,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),5.88,115.59,954.02,2,2,2,3,5,3,1,2
3668,K429689,465f8c40-ff8e-4288-a01c-d574f9758d9c,Senecaville,OH,Guernsey,43780,39.91755,-81.43855,1697.0,Urban,America/New_York,Geographical information systems officer,1.0,49.0,"Some College, Less than 1 Year",Full Time,50580.67,Married,Female,No,14.17,18.0,0.0,1.0,No,Month-to-month,Yes,No,None,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,4.67,111.77,2590.71,4,3,3,4,3,4,3,5
3669,Q994510,58385842-f959-49f8-b4d8-286a79ce206b,Mohawk,MI,Keweenaw,49950,47.38063,-88.11998,1238.0,Urban,America/Detroit,"Engineer, drilling",2.0,23.0,Master's Degree,Student,26081.3,Separated,Female,No,11.0,10.0,0.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),2.91,137.52,553.49,3,4,4,5,2,5,4,4
3670,K562152,22c2e2c8-38ba-4b48-ac1d-6ae69ad3410e,Eielson Afb,AK,Fairbanks North Star,99702,64.64824,-147.049,3006.0,Urban,America/Anchorage,Hydrologist,4.0,57.0,Bachelor's Degree,Retired,10085.48,Married,Male,No,10.48,12.0,0.0,0.0,No,Month-to-month,No,No,DSL,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Credit Card (automatic),7.9,141.92,1435.66,4,5,4,4,4,3,3,4
3671,I340772,b4088c2c-3587-4602-a3e5-419dd266f5a7,Sale City,GA,Mitchell,31784,31.25813,-84.0423,764.0,Rural,America/New_York,Soil scientist,7.0,59.0,"Some College, 1 or More Years, No Degree",Student,38154.75,Divorced,Male,No,10.91,10.0,0.0,0.0,,One year,No,No,None,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Electronic Check,5.12,118.09,937.37,4,4,4,5,2,5,5,4
3672,N685548,06d2cafd-82d0-4725-ae1c-738f9052f2e4,Corsicana,TX,Navarro,75109,32.04523,-96.35405,4555.0,Urban,America/Chicago,Artist,4.0,52.0,"Some College, Less than 1 Year",Full Time,29179.15,Separated,Male,No,7.0,13.0,0.0,0.0,,Two Year,Yes,No,None,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Credit Card (automatic),3.91,172.04,971.48,4,3,3,3,3,3,4,5
3673,E999597,f0aec99c-7a9b-49f8-b34a-b7d1493b2564,Veneta,OR,Lane,97487,43.9862,-123.3909,8878.0,Rural,America/Los_Angeles,"Engineer, petroleum",0.0,77.0,Master's Degree,Part Time,23319.38,Divorced,Male,Yes,7.45,12.0,1.0,0.0,,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,,Yes,No,No,Credit Card (automatic),5.1,116.08,980.98,4,3,4,2,4,3,3,4
3674,B854734,7d35035d-91d9-418b-9f5c-8070325e8524,Yulee,FL,Nassau,32097,30.66379,-81.62966,18518.0,Urban,America/New_York,Merchant navy officer,1.0,28.0,Bachelor's Degree,Retired,32378.58,Married,Female,No,5.02,14.0,1.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Mailed Check,2.28,151.3,520.03,3,4,3,4,2,4,3,4
3675,H858502,9bafe018-debd-4147-b2da-fc82f11b1183,Cahone,CO,Dolores,81320,37.72182,-108.7334,187.0,Suburban,America/Denver,"Engineer, drilling",2.0,72.0,Bachelor's Degree,Full Time,52531.68,Widowed,Female,No,3.26,13.0,1.0,1.0,,Month-to-month,Yes,No,None,No,Yes,No,No,No,No,No,No,Yes,Bank Transfer(automatic),11.3,111.71,982.98,3,2,4,3,3,4,3,4
3676,E838812,467fa3f6-2138-4cbb-808a-c9570de28f18,Oklahoma City,OK,Oklahoma,73127,35.47757,-97.6539,25134.0,Urban,America/Chicago,Make,0.0,58.0,Nursery School to 8th Grade,Full Time,18346.56,Widowed,Female,No,13.37,9.0,1.0,0.0,No,Month-to-month,Yes,No,None,Yes,No,Yes,No,No,,No,Yes,Yes,Mailed Check,33.68,131.72,2902.68,5,4,3,3,3,3,3,3
3677,T332168,8e4d403f-64ea-4a34-9a04-a41b22864554,Ackerman,MS,Choctaw,39735,33.34737,-89.18525,3498.0,Suburban,America/Chicago,Lawyer,1.0,57.0,Professional School Degree,Full Time,21741.59,Married,Female,No,11.43,12.0,0.0,0.0,,Two Year,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,No,Yes,Credit Card (automatic),16.67,118.86,1876.28,2,1,1,4,5,2,3,4
3678,U913708,304e439a-ba47-4975-86f2-ca0d9deaa872,Boyne Falls,MI,Charlevoix,49713,45.21438,-84.85253,2050.0,Urban,America/Detroit,Armed forces logistics/support/administrative officer,3.0,44.0,"Some College, 1 or More Years, No Degree",Part Time,37676.14,Widowed,Male,No,7.8,11.0,3.0,0.0,Yes,Two Year,No,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,Yes,Yes,Credit Card (automatic),16.16,169.84,1767.45,3,2,3,4,3,5,5,4
3679,C461781,7f1c3602-e9a8-40ae-9492-4e6a912ad553,Griffithville,AR,White,72060,35.08408,-91.60119,597.0,Suburban,America/Chicago,Mechanical engineer,5.0,45.0,Regular High School Diploma,Student,30933.38,Never Married,Male,No,5.36,8.0,1.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Bank Transfer(automatic),2.98,204.64,903.73,4,4,3,4,3,4,4,4
3680,J159507,cd5b563a-3769-48cd-9a1c-b4b08d4b2eb0,Homer,AK,Kenai Peninsula,99603,59.52457,-151.2287,10509.0,Rural,America/Anchorage,Medical illustrator,1.0,40.0,Regular High School Diploma,Full Time,14917.11,Widowed,Male,Yes,12.92,11.0,2.0,0.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,No,Yes,Electronic Check,3.24,128.26,1022.93,3,4,3,5,4,4,5,3
3681,A224472,ad97fea1-7d5a-4dcd-806c-5bf4ff1579ab,Frederica,DE,Kent,19946,39.03423,-75.45415,5438.0,Rural,America/New_York,Sales promotion account executive,3.0,75.0,"9th Grade to 12th Grade, No Diploma",Retired,22582.39,Widowed,Male,No,12.8,5.0,1.0,0.0,,One year,Yes,Yes,None,,No,No,Yes,Yes,No,Yes,Yes,No,Mailed Check,13.59,210.99,1803.19,4,3,1,4,3,2,1,3
3682,K617337,ed457858-36a0-4800-877a-a8df2bde249f,Elizabeth,IN,Harrison,47117,38.10535,-85.97309,4363.0,Rural,America/Kentucky/Louisville,"Psychologist, forensic",3.0,54.0,Master's Degree,Unemployed,35607.37,Married,Female,Yes,8.25,9.0,1.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),8.81,173.91,1034.99,3,3,5,4,4,2,3,5
3683,I526734,637849b3-dda9-4654-9095-2d696af0b0dd,Cape Coral,FL,Lee,33990,26.62789,-81.94331,32901.0,Urban,America/New_York,Research scientist (maths),1.0,57.0,Nursery School to 8th Grade,Retired,44390.36,Separated,Female,No,5.3,13.0,0.0,1.0,No,One year,Yes,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Bank Transfer(automatic),4.56,162.51,1097.41,2,3,3,2,3,3,3,3
3684,G699718,717a1c7c-90d0-4177-99d6-4f73ca5e6ff1,Gardiner,MT,Park,59030,45.08482,-110.5725,1273.0,Suburban,America/Denver,Industrial buyer,3.0,78.0,Regular High School Diploma,Full Time,21918.44,Widowed,Male,No,7.34,7.0,1.0,0.0,Yes,Two Year,No,No,None,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Bank Transfer(automatic),20.34,118.52,1973.92,4,3,5,5,3,5,4,4
3685,W995393,50305bdf-a81c-40d8-8454-8c5fe3cdb7ff,Norris,TN,Anderson,37828,36.19797,-84.06905,1264.0,Urban,America/New_York,Quality manager,0.0,63.0,Nursery School to 8th Grade,Full Time,18839.59,Separated,Female,No,11.68,11.0,1.0,0.0,Yes,Two Year,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Bank Transfer(automatic),20.86,150.33,1943.3,3,3,3,2,6,2,2,3
